Timestamp,Email,Satisfaction
2019-01-09 11:16:03,jack_torrence@acme.com,5
2019-01-14 17:03:20,talagbe@acme.com,5
2019-06-30 12:27:22,kennetht@acme.com,4
2019-09-09 12:30:08,cybarra@acme.com,2
2019-11-01 09:33:33,mia_brown@acme.com,4
2019-11-06 10:03:07,bradp@acme.com,1
2020-01-06 14:56:41,vito_corleone@acme.com,5
2020-01-06 15:23:21,afoster-baker@acme.com,3
2020-01-07 14:11:45,nsadki@acme.com,5
2020-01-12 12:56:55,kissys@acme.com,2
2020-01-13 12:03:15,jack_torrence@acme.com,5
2020-01-14 18:15:12,talagbe@acme.com,5
2020-04-16 15:41:19,jzamora@acme.com,3
2020-04-30 18:14:36,jgonzalez@acme.com,2
2020-05-01 10:38:49,desireet@acme.com,5
2020-05-03 13:42:53,amyd@acme.com,4
2020-05-07 07:37:59,lisag@acme.com,3
2020-07-08 17:26:27,lindab@acme.com,3
2020-07-21 17:16:44,mcorleone@acme.com,2
2020-09-04 14:09:50,cybarra@acme.com,1
2020-09-05 15:38:41,adils@acme.com,4
2020-09-06 18:05:57,philc@acme.com,4
2020-09-27 16:02:40,cstrong@acme.com,3
2020-10-26 12:08:06,ebonee_peterson@acme.com,5
2020-11-01 11:34:04,constance_sloan@acme.com,3
2020-11-03 14:04:02,mia_brown@acme.com,4
2020-11-12 14:16:37,bradp@acme.com,1
2021-01-05 09:09:23,afoster-baker@acme.com,2
2021-01-05 16:02:22,nsadki@acme.com,5
2021-01-09 18:59:52,kissys@acme.com,3
2021-01-10 16:02:00,vito_corleone@acme.com,5
2021-01-10 17:13:09,alain_robinson@acme.com,5
2021-01-10 17:20:55,hans_landa@acme.com,2
2021-01-10 18:31:23,john_kretschmer@acme.com,3
2021-01-11 15:10:36,scottw@acme.com,5
2021-01-11 18:41:57,cherly_robinson@acme.com,2
2021-01-12 09:08:57,talagbe@acme.com,4
2021-01-12 13:34:58,jack_torrence@acme.com,5
2021-01-13 10:27:51,edriver@acme.com,5
2021-01-14 15:26:00,betsy_bondwell@acme.com,5
2021-01-14 15:43:11,jjung@acme.com,5
2021-01-14 16:50:17,rbaczenski@acme.com,5
2021-01-14 18:21:11,msmith@acme.com,5
2021-01-16 09:59:08,barbarams@acme.com,4
2021-01-16 14:26:41,cybil_trzeciak@acme.com,4
2021-01-17 14:46:04,thendrickson@acme.com,4
2021-01-22 15:52:47,llindsay@acme.com,3
2021-02-11 16:18:07,npanjwani@acme.com,5
2021-02-22 15:18:15,nbates@acme.com,4
2021-02-23 09:03:48,ming_huynh@acme.com,5
2021-02-25 15:19:31,pgross@acme.com,5
2021-02-27 14:17:48,squinn@acme.com,4
2021-03-14 13:00:13,fkreuger@acme.com,4
2021-04-04 14:24:54,diannab@acme.com,2
2021-04-06 09:14:03,brossetti@acme.com,5
2021-04-06 11:08:42,courtneyb@acme.com,5
2021-04-07 16:48:58,tanyaf@acme.com,4
2021-04-09 09:12:14,benjaminb@acme.com,4
2021-04-09 09:59:19,carla_demita@acme.com,5
2021-04-11 08:58:07,mariannee@acme.com,3
2021-04-16 08:04:14,jzamora@acme.com,3
2021-04-18 13:06:25,jasonf@acme.com,5
2021-04-28 15:31:26,amyd@acme.com,5
2021-05-01 14:21:28,lisag@acme.com,3
2021-05-17 10:22:37,jenniferc@acme.com,5
2021-05-18 08:08:39,thomasr@acme.com,5
2021-05-18 17:42:44,mpower@acme.com,4
2021-05-20 11:34:50,barbarag@acme.com,4
2021-05-20 14:24:40,jamesd@acme.com,3
2021-05-21 11:40:36,shakirap@acme.com,5
2021-05-21 14:03:06,lpeters@acme.com,5
2021-05-21 14:14:56,barry_wilber@acme.com,2
2021-05-22 08:07:36,michael_fitzpatrick@acme.com,4
2021-05-23 16:22:24,lenora_tejeda@acme.com,5
2021-06-02 16:32:47,shana_maurice@acme.com,3
2021-06-17 15:25:43,julias@acme.com,4
2021-07-02 14:50:46,enolac@acme.com,4
2021-07-05 09:07:51,wadinolfi@acme.com,3
2021-07-06 13:57:28,marilyn_linares@acme.com,1
2021-07-06 15:17:04,tjeannite@acme.com,1
2021-07-06 16:05:02,hongp@acme.com,4
2021-07-06 17:03:50,erminep@acme.com,5
2021-07-08 17:36:26,karenm@acme.com,3
2021-07-09 17:17:52,jackiev@acme.com,3
2021-07-11 18:05:09,lindab@acme.com,3
2021-07-11 19:09:34,stheamstern@acme.com,4
2021-07-12 13:52:31,sakinkuolie@acme.com,4
2021-07-14 12:42:27,cayo_gonzalez@acme.com,5
2021-07-15 15:47:21,scole@acme.com,4
